Acronym,Translation,Description
MRD,Mission Requirement Document,The Mission Requirements Document (MRD) stems from the Science Requirements document [SciRD] and it contains the mission requirements considered necessary to achieve the science goals.
AC,Alternating Current,Alternating current (AC) is an electric current which periodically reverses direction and changes its magnitude continuously with time in contrast to direct current (DC) which flows only in one direction.
A/D,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
ADC,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
ADS,Airbus Deutschland (Friedrichshafen),Airbus is a European multinational aerospace corporation.
AEI,Albert Einstein Institute,The Max Planck Institute for Gravitational Physics (Albert Einstein Institute) is the largest research institute in the world specializing in general relativity and beyond. The institute is located in Potsdam and in Hannover where it closely collaborates with the Leibniz University Hannover.
AGN,Active Galactic Nuclei,An active galactic nucleus (AGN) is a compact region at the center of a galaxy that has a much-higher-than-normal luminosity over at least some portion of the electromagnetic spectrum with characteristics indicating that the luminosity is not produced by stars. 
AIV,"Assembly, Integration, And  Verification",
AIVT,"Assembly, Integration, Verification, And Testing",
AIT,"Assembly, Integration, And Testing",
AK,Analytic Kludge,
AM CVn,Class Of Cataclysmic Variable Stars,
AO,Announcement Of Opportunity,An observing mode for observatories to catch timely and transient events in time. 
AOCS,Attitude And Orbit Control System,
API,Application Programming Interface,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ATA,Allen Telescope Array,
BAO,Baryonic Acoustic Oscillation,
BBN,Big Bang Nucleosynthesis,
BH,Black Hole,
BHB,Black Hole Binary,
CAS,Constellation Acquisition Sensor,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCD,Charge-Coupled Device,
CCU,Carging Control Unit,
CDM,Cold Dark Matter,
CFRP,Carbon Fibre Reinforced Plastic,
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMD,Charge Management Decive,
CMS,Charge Management System,
CMNT,Colloid Micro-Newton Thruster,
COBE,Cosmic Background Explorer,
CoM,Centre Of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COSMOS,Cosmic Evolution Survey,
CTE,Coefficient Of Thermal Expansion,
D/A,Digital -To-Analogue Converter,
DDE,Diagnostics Drive Electronics,
DC,Direct Current,
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DFACS,Drag-Free Attitude Control System,
DHLC,Data Handling And Laser Control,
DOF,Degree Of Freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPLL,Digital Phase Locked Loop,
DRS,Disturbance Reduction System,
DSC,Daughter Space Craft,
DSN,Deep Space Network,
DTM,Deterministic Transfer Manoeuvre,
DTU,Danmarks Tekniske Universitet,Technical University of Denmark
DWS,Differential Wavefront Sensing,
EEE,Electronic/Electrical Engineering Equipment,
EELV,Evolved Expendable Launch Vehicle,
EGAPS,European Galactic Plane Surveys,
ELV,Expendable Launch Vehicle,
EM,Engeneering Model," Simplification of the reality to address a complex problem by simple rules that can be described by means of equations EM have all the function but usually not the right interfaces (lab equipment instead of proper harness), "
EMC,Electro-Magentic Compatibility,
EMI,Electro-Magentic Interference,
EMRI,Extreme Mass-Ratio Inspiral,
EOL,End-Of-Life,
EOM,Electro-Optical Modulator,
EPS,Extended Press-Schechter Formalism,
ESA,European Space Agency,
ESAC,"European Space Astronomy Centre In Madrid, Spain",
FDIR ,"Failure Detection, Isolation, And Recovery ",
FE,Finite Element,
FEE,Front-End Eletrctronics,
FEEP,Field-Emission Electric Propulsion ,
FEE SAU,Front-End Eletrctronics Sensing And Actuation Unit ,
FFOGSE,Far Field Optical Ground Support Equipment,Optical Bench
FM,Flight Model,
FOH,Fibre Optical Harness,
FPAG ,Fundamental Physics Advisory Group,
FPGA,Field-Programmable Gate Array,
FR,Laser Frequency Reference,
FS,Flight Spare,A flight spare is a copy of a spacecraft or spacecraft part which is held in reserve in case it is needed for the mission.
FSUA,Fiber Switch Unit Actuator,
GR,General Theory Of Relativity,
GRS,Gravitational Reference Sensor,
GRSH,Gravitational Reference Sensor Head,
GS,Ground Station,
GSE,Ground Support Equipment,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,
GW,Gravitational Wave,
HDF,Hierarchical Data Format,
HDRM,Hold Down And Release Mechanism,
HETO,Heliocentric Earth Trailing Orbit,
HGA,High-Gain Antenna,
HST,Hubble Space Telescope,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
IMBH,Intermediate-Mass Black Hole,
IMF,Initial Mass Function,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
IOCR,In-Orbit Commissioning Review,
IOT,Instruments Operations Team,
ISM,Instrument Sensitivity Model,
JILA,Joint Institute For Laboratory Astrophysics,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KSC,Kennedy Space Center,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,
LCA,Lisa Core Assembly,
LCM,Spacecraft Composite Stack,
LDB,Lisa Mission Database,
LDC,Lisa Data Challenge,Formerly called MLDC
LDPG,Lisa Data Progressing Group,
LED,Light-Emitting Diode,
LEOP,Launch And Early Operations Phase,
LGA,Low-Gain Antenna,
LIC,Lisa Instrument Consortium,Payload providers
LIGO,Laser Interferemeter Gravitational Wave Observartory,
LIST,Lisa International Science Team,
LLD,Launch Lock Device,
LMC,Large Magellanic Cloud,
LoA,Letter Of Agreement,
LOLIPP,Level 0 To Levl 1 Pipeline Procedure,
LOS,Line Of Sight,
LPF,Lisa Pathfinder,
LS,Laser Subsystem,
LSG,Lisa Science Group,People from the community but not in the LISA Study Team
LSO,Last Stable Orbit,
LSST,Large Synoptic Survey Telescope,
LTP,Lisa Pathfinder Technology Package,
LVA,Launch Vehicle Adaptor,
MAXI,Monitor Of All-Sky X-Ray Image,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MCMC,Markov-Chain Monte Carlo,
MECC,Merger Event Coordination Committee,
MEOP,Maximum Expected Operationg Pressure,
MIFO,Metallic Interferometer,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock Lisa Data Challenge,
MLI,Multi Layer Insulation,
MMH,Monomethyl Hydrazine,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier ,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MoU,Memorandum Of Understanding,
MOSA,Moving Optical Sub-Assembly,"Telescope, an optical bench, a gravitational reference sensor (including free falling TM) and a support structure"
MRD,Mission Requirement Document,
MSC,Mother Spacecraft,
MSS,Mosa Support Structure,
NASA,National Areonautic And Space Administration ,
NDA,Non-Disclosure Agreement,
NGO,New Gravitational Wave Observatory,
NLST,Nasa Lisa Study Team,
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
OAS,Optical Assembly Subsytem,
OATM,Optical Assembly Tracking Mechanism,
OAM,Optical Assembly Mechanics,
OB,Optical Bench,
OBC,On-Board Computer,
OMS,Optical Metrology System,
ORO,Optical Read-Out,
P/M,Propulsion Module,
PAAM,Point-Ahead Angle Mechanism,
Pan-Starrs,The Panoramic Survey Telescope & Rapid Response System,
PCC,Payload Control Computer ,
PCDU,Power Control And Distribution Unit,
PCS,Payload Control Subsystem,
PCU,Power Conditioning Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland. 
PDF,Probability Density Function,
PDH,Propability Data Handling,
PLL,Phase-Locked Loop,
P/L,Payload,
P/M,Propulsion Module,
PMFDE,Pahse Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMDSP,Phase Meter Digital Signal Processor,
PMS,Pahse Measurement Subsystem ,
PN,Post-Newtonian,
PRN,Pseudo-Random (Speudo Noise),
PRDS,Phase Reference Distribution System,
PSD,Power Spectral Density ,
PSM,Power Supply Module,
PSF,Point-Pread Function,
PTF,Palomar Transient Factory,
QE,Quantum Efficiency,
QM,Qualification Model,QM are like Flight Models (FM) but are usually stressed more during testing Qualification loads are higher than Verification Laods
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,Also called QPR
QSO,Quasi-Stellar Object,
RATS,Rapid Time Survey,
RF,Radio Frequency,
RIN,Relative Intensity Noise,
RIT,Radio-Frequency Ion Thruster,
RMS,Root Mean Square,
RSS,Root Sum Square,
RXTE,Rossi X-Ray Timing Explorer,
SAU,Sensing and Actuation Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland. 
S/C,Spacecraft,
S/C-P/M,Spacecraft/Propulsion-Module ,
SciRD,Science Requirement Document,
SEO,System Engineering Office ,We need this because we have several Systems Engineers from the different parties 
SEPD,Single-Element Photo Diode,
SDSS,Sloan Digital Sky Survey,
SIM,Space Interferometry Mission,
SISO,Single Input/Single Output,
SMBH,Super-Massive Black Hole,
SMC,Small Magellanic Cloud,
SNR,Signal-To-Noise Ratio,
SOC,Science Operation Centre,
SSB,Solar System Barycenter,
SST,Science Study Team,
STM,Structural Model,"STM have all the structure, usually no or very limited functionality"
STOM,Structural Optical Model,
SWT,Ngo Scence Working Team,
TAS,Thales-Alenia Aerospace Systems,
TBD,To  Be Determined,
TC/TM,Telecommand/Telemetry ,
TCM,Trajectory Correction Manoeuvre,
TDI,Time-Delay Interferometry,
TECC,Transient Event Coordination Committee ,
TM,"Test Mass, Often Proof Mass",
TN,Technical Note,
TRL,Technology Readiness Level,
TRP,Temperature Reference Points,
TS,Telescope,
TT&C,"Telemetry, Tracking, And Command ",
TWTA,Traveling-Wave Tube Amplifier,
USO,Ultra-Stable Oscillator,
ULU,UV Light Unit,
URL,Uniform Resrouce Locator,
UV,Ultra-Violet,
VAST,Variables And Slow Transients,An Askap Survey For Variables And Slow Transients Is A Survey Science Project For The Australian Ska Pathfinder
VMS,Very Massice  Star,
WMAP,Wilkison Microwave Anisotropy Probe,
XML,Extensible Markup Language,
ZIFO,Zerudur Interferomenter,
