Acronym,Translation,Description
1PA,one-post-adiabatic,
A/D,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
AAM,Active Aperture Mechanism,
AC,Alternating Current,Alternating current (AC) is an electric current which periodically reverses direction and changes its magnitude continuously with time in contrast to direct current (DC) which flows only in one direction.
ACS,Attitude Control System,
AD,Applicable Document,
ADC,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
ADPLL,all-digital phase-locked loop,
ADS,Airbus Deutschland (Friedrichshafen),Airbus is a European multinational aerospace corporation.
ADVOREACH,Advocacy & Outreach Committee,
AEI,Albert Einstein Institute,The Max Planck Institute for Gravitational Physics (Albert Einstein Institute) is the largest research institute in the world specializing in general relativity and beyond. The institute is located in Potsdam and in Hannover where it closely collaborates with the Leibniz University Hannover.
AETD,Applied Engineering and Technology Directorate,
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,An active galactic nucleus (AGN) is a compact region at the center of a galaxy that has a much-higher-than-normal luminosity over at least some portion of the electromagnetic spectrum with characteristics indicating that the luminosity is not produced by stars.
AI,Atom Interferometry,
AIT,"Assembly, Integration, And Testing",
AIV,"Assembly, Integration, And  Verification",
AIVT,"Assembly, Integration, Verification, And Testing",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
ALMA,Atacama Large Millimeter/submillimeter Array,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),"""Class Of Cataclysmic Variable Stars"""
AMR,Anisotropic Magnetoresistors,
AO,Announcement Of Opportunity,An observing mode for observatories to catch timely and transient events in time.
AOCS,Attitude And Orbit Control System,
AOM,acousto-optic modulator,
APD,(NASA's) Astrophysics Division,
API,Application Programming Interface,
APM,Antenna Pointing Mechanism,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ASTROWG,Astrophysics Working Group,
ATA,Allen Telescope Array,
ATHENA,Advanced Telescope for High-ENergy Astrophysics,ESA's second L mission besides LISA. X-ray observatory that was supposed to be launched around the same time of LISA.
ATLO,"Assembly, Test, and Launch Operations",
ATM,Acoustic Telemetry Modem,
ATM,Augmented Telemetry,
AU,Astronomical Unit,
AU,gold,
AWG,Astronomy Working Group,The Astronomy Working Group (AWG) provides scientific advice mainly to the Space Science Advisory Committee (SSAC). The AWG members are scientists from the ESA Member States with expertise in the specific disciplines covered by the AWG. The chair of the working group is also a member of the SSAC.
BAM,Beam Alignment Mechanism,"[IDS doc] Each OB has two Beam Alignment Mechanisms (BAMs): one shifts the TX beam, the other the RX beam. It effectively provides an efficient way of compensating Tilt-To-Length effects arising from imperfections and misalignments in the optical system."
BAO,Baryonic Acoustic Oscillation,
BB,Breadboard,
BBDR,Breadboard Design Review,
BBN,Big Bang Nucleosynthesis,
BCRS,Barycentric Celestial Reference System,
BEE,Back End Electronics,(PMS)
BH,Black Hole,
BHB,Black Hole Binary,
BSM,Physics beyond the Standard Model,
CAC,Cost at Completion,
CAD,Computer Aided Design,
CAM,Constellation Acquisition Mode,
CAS,Constellation Acquisition Sensor,
CATWP,Catalogues Work Package,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCC,Consortium Constituent Council,
CCCP,"Cleanliness, Contamination, and Control Plan",
CCD,Charge-Coupled Device,
CCPM,Consortium Constellation Performance Model,
CCU,Carging Control Unit,
CDF,Concurrent Design Facility,
CDM,Cold Dark Matter,
CDR,Critical Design Review,
CE,Cosmic Explorer,
CFI,Customer-Furnished Items,
CFRP,Carbon Fibre Reinforced Plastic,
CG,Cold Gas,
CGMPS,Cold Gas Micro Propulsion System,
CIL,Critical Items List,
CIP,Continuous Improvement Program,Ariannespace
CL,Confidence Level,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Caging Mechanism,
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMD,Charge Management Device,
CMM,Coordinate Measuring Machine,
CMNT,Colloid Micro-Newton Thruster,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre National d'Études Spatiales,
COBE,Cosmic Background Explorer,
COM,Centre Of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COMS,Communications System (telemetry),
COSMOS,Cosmic Evolution Survey,
COSWG,Cosmology Working Group,
COTS,Commercial off the Shelf,
CPIS,Consortium Provided Items,
CPTA,Chinese Pulsar Timing Array,
CQP,Calibrated Quadrant Photodiode Pair,
CS,Cosmic String,
CSD,Cross Spectral Density,
CST,Community Science Team,
CTE,Coefficient Of Thermal Expansion,
CTP,Core Technology Program,
CVM,Caging and Venting Mechanism,
CW,Continuous Wave,
CWD,Compact White Dwarf binaries,
D/A,Digital -To-Analogue Converter,
D/SRE,Director of Science & Robotic Exploration,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAC,Digital-to-Analog Converter,
DAFTWP,Data Analysis Framework and Tools Work Packages,
DAUGHTER-S,Daughter spacecraft,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCCS,Data Computing Centers,
DCIU,Digital Control Interface Unit,
DCP,De-Commissioning Phase,
DDE,Diagnostics Drive Electronics,
DDF,Design Definition File,
DDPC,Distributed Data Processing Centre,The Data Processing Center in France
DDS,Data and Diagnostic Subsystem,Is now SDS - Science Diagnostic Subsystem
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DEI,"Diversity, Equity and Inclusion Committee",
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DHLC,Data Handling And Laser Control,A unit of the PCU within the Phasemeter (PMS) which handles the final filtering of the extracted phase for the TDI pipeline (L0), the DFACs data, the laser transponder lock, as well as the general command and control of the PMS.
DJF,Design Justification File,
DLL,Delay-Locked Loop,An algorithm implemented within the IPU of the PMS that tracks the PRN modulation encoded on each transmitted beam within an inter-spacecraft link. Gives a pseudo-range measurement of the separation between spacecraft, used as part of TDI.
DLR,Deutsches Zentrum fuer Luft- und Raumfahrt,German Aerospace Center
DM,Dark Matter,
DMS,Document Management System,
DMU,Data Management Unit,
DOF,Degree Of Freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPEWG,Detection and Parameter Estimation Work Packages,
DPL,Daily Pipeline,
DPLL,Digital Phase Locked Loop,
DPS,Differential Power Sensing,from Maike's thesis
DR,data release,
DRPT,Data Release Product Team,
DRS,Disturbance Reduction System,
DS,Diagnostics Subsystem,
DSC,Daughter Space Craft,
DSCU,Diagnostics Signal Conditioning Unit,"Diagnostics Signal Conditioning Unit (confirmed at LIG PM3, orally, by Miquel)"
DSN,Deep Space Network,
DSP,Data Signal Processing,
DTM,Deterministic Transfer Manoeuvre,
DTU,Danmarks Tekniske Universitet,Technical University of Denmark
DWD,Double White Dwarf (binary),
DWS,Differential Wavefront Sensing,A comparison of the phase difference between the segments of a QPR, performed by the PMS, results in the angle of incidence of the laser beam onto the QPR.
E2E,End-to-End,
EBB,Engineering (or Elegant) Bread Board,
EBM,External Balance Mass,
EC,Executive Committee,
ECDL,Extended Cavity Diode Laser,
ECSS,European Cooperation for Space Standardization,
EDU,Engineering Development Unit,
EEE,Electronic/Electrical Engineering Equipment,
EELV,Evolved Expendable Launch Vehicle,
EFC2,ESA/ESTEC Frame Contract 2,
EGAPS,European Galactic Plane Surveys,
EGSE,Electrical Ground Support Equipment,
EH,Electrode Housing,
EID,Experiment Interface Document,
EIRP,Equivalent Isotropic Radiative Power,
ELISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELT,Extremely Large Telescope,
ELV,Expendable Launch Vehicle,
EM,Engineering Model,Simplification of the reality to address a complex problem by simple rules that can be described by means of equations EM have all the function but usually not the right interfaces (lab equipment instead of proper harness)
EMA,Electro-Magnetic,
EMC,Electro-Magentic Compatibility,
EMI,Electro-Magentic Interference,
EMRB,Extreme Mass-Ratio Bursts,
EMRI,Extreme Mass-Ratio Inspiral,
EOB,effective one-body,
EOL,End-Of-Life,
EOM,Electro-Optical Modulator,
EOM,Equations of Motion,
EPMS,Extended Phase Measuring System,"""Phasemeter - does more than just measure phase (clock transfer, ranging, data format, ..."""
EPS,Extended Press-Schechter Formalism,
EPTA,European Pulsar Timing Array,
EQM,Engineering and Qualification Model,
ERST,Early Release Science Time,
ESA,European Space Agency,
ESAC,European Space Astronomy Centre,"""In Madrid, Spain"""
ESDC,ESAC Science Data Centre,
ESOC,European Space Operations Centre,
ESP,Extended Science Phase,
ESTEC,European Space Research and Technology Centre,"""in Noordwijk, Netherlands"""
ESTRACK,European Space TRACKing,
ET,Einstein Telescope,
ETU,Engineering Thermal Unit,
EW,Electroweak,
FA,Fiber Amplifier,
FAQ,Frequently Asked Question(s),
FBD,Functional Block Diagram,
FCC,Future Circular Collider,
FDIR,"Failure Detection, Isolation, And Recovery",
FDS,Frequency Distribution System,A module of the IPU of the Phasemeter (PMS) that is responsible for distributing clocks needs for phase extraction. To be renamed to Frequency Distribution Module (FDM).
FDM,Frequency Distribution Module,A module of the IPU of the Phasemeter (PMS) that is responsible for distributing clocks needs for phase extraction.
FE,Finite Element,
FEE,Front-End Electronics,
FEE SAU,Front-End Electronics Sensing And Actuation Unit,
FEEP,Field-Emission Electric Propulsion,
FEM,Finite Element Model,
FF OGSE,Far-Field Optical Ground Support Equipment,Optical Bench
FF-OGSE,Far-Field Optical Ground Support Equipment,Optical Bench
FFOGSE,Far Field Optical Ground Support Equipment,Optical Bench
FIOS,Fibre Injector Optical Subassembly,
FITS,Flexible Image Transport System,
FM,Flight Model,
FMT,Formulation Management Team,
FOH,Fibre Optical Harness,
FOM,Figures of Merit,
FOPT,First-Order Phase Transition,
FOV,Field of View,
FPAG,Fundamental Physics Advisory Group,
FPGA,Field-Programmable Gate Array,"A field-programmable gate array (FPGA) is an integrated circuit designed to be configured by a customer or a designer after manufacturing � hence the term ""field-programmable""."
FPWG,Fundamental Physics Working Group,
FR,Laser Frequency Reference,
FRS,Frequency Reference System,
FS,Flight Spare,A flight spare is a copy of a spacecraft or spacecraft part which is held in reserve in case it is needed for the mission.
FSM,Finite State Machine,
FSU,Fibre Switching Unit,
FSUA,Fiber Switch Unit Actuator,
FTE,Full-Time Equivalent,
FWHM,Full Width Half Maximum,
GB,Galactic Binary,
GBS,Galactic Binaries,
GCR,Galactic Cosmic Ray,
GCRS,Geocentric Celestial Reference System,
GOAT,Gravitational Observatory Advisory Team,
GPRM,Grabbing Position Release Mechanism,"[IDS doc] Each OB has two Fibre-Switch-Units (FSUs), one to provide the means to switch between the prime and redundant OB feed fibres (coming from the laser system) and one to switch between the prime and redundant backlink fibre."
GPS,Global Positioning System,
GR,General Theory Of Relativity,
GR740,The ESA Next Generation Microprocessor (NGMP),
GRACE,Gravity Recovery and Climate Experiment,
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference System,
GRSH,Gravitational Reference System Head,
GS,Ground Station,
GSE,Ground Support Equipment,
GSF,Gravitational Self-Force,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,"refers to variation of TTL between what was measured on ground during AIVT, and wht we end up with in space - [my wording of my I got from Ewan@LIG PM3]"
GUT,Grand Unified Theory,
GW,Gravitational Wave,
GW-WG,Gravitational-wave Observatory Working Group,
H/W,Hardware,
HDF,Hierarchical Data Format,
HDRM,Hold Down And Release Mechanism,
HEMP,High-Efficiency Micropropulsion,
HEO,High Earth Orbit,
HETO,Heliocentric Earth Trailing Orbit,
HG,Mercury,The Element.
HGA,High-Gain Antenna,
HK,Housekeeping,
HL-LHC,High Luminosity Large Hadron Collider,
