Acronym,Translation,Description
A/D,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
AAM,Active Aperture Mechanism,
AC,Alternating Current,Alternating current (AC) is an electric current which periodically reverses direction and changes its magnitude continuously with time in contrast to direct current (DC) which flows only in one direction.
ACS,Attitude Control System,
ADC,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
ADS,Airbus Deutschland (Friedrichshafen),Airbus is a European multinational aerospace corporation.
AEI,Albert Einstein Institute,The Max Planck Institute for Gravitational Physics (Albert Einstein Institute) is the largest research institute in the world specializing in general relativity and beyond. The institute is located in Potsdam and in Hannover where it closely collaborates with the Leibniz University Hannover.
AETD,Applied Engineering and Technology Directorate,
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,An active galactic nucleus (AGN) is a compact region at the center of a galaxy that has a much-higher-than-normal luminosity over at least some portion of the electromagnetic spectrum with characteristics indicating that the luminosity is not produced by stars.
AI,Atom Interferometry,
AIT,"Assembly, Integration, And Testing",
AIV,"Assembly, Integration, And  Verification",
AIVT,"Assembly, Integration, Verification, And Testing",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
ALMA,Atacama Large Millimeter/submillimeter Array,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),
AM CVN,Class Of Cataclysmic Variable Stars,
AMCVN,class of cataclysmic variable stars,
AMR,Anisotropic Magnetoresistors,
AO,Announcement Of Opportunity,An observing mode for observatories to catch timely and transient events in time.
AOCS,Attitude And Orbit Control System,
AOM,acousto-optic modulator,
APD,(NASA's) Astrophysics Division,
API,Application Programming Interface,
APM,Antenna Pointing Mechanism,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ATA,Allen Telescope Array,
ATLO,"Assembly, Test, and Launch Operations",
AU,Astronomical Unit,
ASTROWG,Astrophysics Working Group,
BAM,Beam Alignment Mechanism,
BAO,Baryonic Acoustic Oscillation,
BB,Breadboard,
BBN,Big Bang Nucleosynthesis,
BCRS,Barycentric Celestial Reference System,
BH,Black Hole,
BHB,Black Hole Binary,
CAC,Cost at Completion,
CAD,Computer Aided Design,
CAS,Constellation Acquisition Sensor,
CATWP,Catalogues Work Package,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCD,Charge-Coupled Device,
CCU,Carging Control Unit,
CDF,Concurrent Design Facility,
CDM,Cold Dark Matter,
CDR,Critical Design Review,
CE,Cosmic Explorer,
CFRP,Carbon Fibre Reinforced Plastic,
CG,Cold Gas,
CIP,Continuous Improvement Program,Ariannespace
CL,Confidence Level,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMD,Charge Management Decive,
CMM,Coordinate Measuring Machine,
CMNT,Colloid Micro-Newton Thruster,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre National d'Études Spatiales,
COBE,Cosmic Background Explorer,
COM,Centre Of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COMS,Communications System (telemetry),
COSMOS,Cosmic Evolution Survey,
COTS,Commercial off the Shelf,
CQP,Calibrated Quadrant Photodiode Pair,
CSD,Cross Spectral Density,
CST,Community Science Team,
CTE,Coefficient Of Thermal Expansion,
CTP,Core Technology Program,
CVM,Caging and Venting Mechanism,
CW,Continuous Wave,
CWD,Compact White Dwarf binaries,
COM,Centre of Mass,
COSWG,Cosmology Working Group,
D/A,Digital -To-Analogue Converter,
D/SRE,Director of Science & Robotic Exploration,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAC,Digital-to-Analog Converter,
DAFTWP,Data Analysis Framework and Tools Work Packages,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCCS,Data Computing Centers,
DCIU,Digital Control Interface Unit,
DDE,Diagnostics Drive Electronics,
DDPC,Dedicated Data Processing Center,The Data Processing Center in France
DDS,Data and Diagnostic Subsystem,
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DHLC,Data Handling And Laser Control,
DLR,Deutsches Zentrum fuer Luft- und Raumfahrt,German Aerospace Center
DMS,Document Management System,
DMU,Data Management Unit,
DOF,Degree Of Freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPEWG,Detection and Parameter Estimation Work Packages,
DPLL,Digital Phase Locked Loop,
DRS,Disturbance Reduction System,
DS,Diagnostics Subsystem,
DSC,Daughter Space Craft,
DSN,Deep Space Network,
DSP,Data Signal Processing,
DTM,Deterministic Transfer Manoeuvre,
DTU,Danmarks Tekniske Universitet,Technical University of Denmark
DWD,Double White Dwarf (binary),
DWS,Differential Wavefront Sensing,
DAUGHTER-S,Daughter spacecraft,
E2E,End-to-End,
EBB,Engineering (or Elegant) Bread Board,
EC,Executive Committee,
ECSS,European Cooperation for Space Standardization,
EDU,Engineering Development Unit,
EEE,Electronic/Electrical Engineering Equipment,
EELV,Evolved Expendable Launch Vehicle,
EGAPS,European Galactic Plane Surveys,
EH,Electrode Housing,
EIRP,Equivalent Isotropic Radiative Power,
ELISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELV,Expendable Launch Vehicle,
EM,Engeneering Model,Simplification of the reality to address a complex problem by simple rules that can be described by means of equations EM have all the function but usually not the right interfaces (lab equipment instead of proper harness)
EMC,Electro-Magentic Compatibility,
EMI,Electro-Magentic Interference,
EMRI,Extreme Mass-Ratio Inspiral,
EMA,Electro-Magnetic,
EOL,End-Of-Life,
EOM,Electro-Optical Modulator,
EPMS,Extended Phase Measuring System,"""Phasemeter - does more than just measure phase (clock transfer, ranging, data format, ..."""
EPS,Extended Press-Schechter Formalism,
EQM,Engineering and Qualification Model,
ESA,European Space Agency,
ESAC,"European Space Astronomy Centre In Madrid, Spain",
ESOC,European Space Operations Centre,
ESP,Extended science phase,
ESTEC,European Space Research and Technology Centre,
ESTRACK,European Space TRACKing,
ET,Einstein Telescope,
ETU,Engineering Thermal Unit,
EOM,Equations of Motion,
FAQ,Frequently Asked Question(s),
FBD,Functional Block Diagram,
FDIR,"Failure Detection, Isolation, And Recovery",
FDS,Frequency Distribution System,
FE,Finite Element,
FEE,Front-End Eletrctronics,
FEE SAU,Front-End Eletrctronics Sensing And Actuation Unit,
FEEP,Field-Emission Electric Propulsion,
FEM,Finite Element Model,
FF-OGSE,Far-Field Optical Ground Support Equipment,
FFOGSE,Far Field Optical Ground Support Equipment,Optical Bench
FIOS,Fibre Injector Optical Subassembly,
FITS,Flexible Image Transport System,
FM,Flight Model,
FMT,Formulation Management Team,
FOH,Fibre Optical Harness,
FOV,Field of View,
FPAG,Fundamental Physics Advisory Group,
FPGA,Field-Programmable Gate Array,
FPWG,Fundamental Physics Working Group,
FR,Laser Frequency Reference,
FS,Flight Spare,A flight spare is a copy of a spacecraft or spacecraft part which is held in reserve in case it is needed for the mission.
FSU,fibre switching unit,
FSUA,Fiber Switch Unit Actuator,
GB,Galactic Binary,
GBS,Galactic Binaries,
GCR,Galactic Cosmic Ray,
GCRS,Geocentric Celestial Reference System,
GOAT,Gravitational Observatory Advisory Team,
GPRM,Grabbing Position Release Mechanism,
GR,General Theory Of Relativity,
GR740,The ESA Next Generation Microprocessor (NGMP),
GRACE,Gravity Recovery and Climate Experiment,
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference Sensor,
GRSH,Gravitational Reference Sensor Head,
GS,Ground Station,
GSE,Ground Support Equipment,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,
GW,Gravitational Wave,
GW-WG,Gravitational-wave Observatory Working Group,
H/W,Hardware,
HDF,Hierarchical Data Format,
HDRM,Hold Down And Release Mechanism,
HEMP,High-Efficiency Micropropulsion,
HEO,High Earth Orbit,
HETO,Heliocentric Earth Trailing Orbit,
HGA,High-Gain Antenna,
HK,Housekeeping,
HR,High Resolution,
HST,Hubble Space Telescope,
HG,mercury,
I&T,Integration and Test(ing),
I/F,interface,
IA,Instrument Amplifier,
IAAS,Infrastructure As A Service,
IAU,International Astronomical Union,
IBM,Internal Balance Mass,
ICC,Instrument Control Computer,
ICRF,International Celestial Reference Frame,
ICRS,International Celestial Reference System,
ICSO,Innermost Stable Circular Orbit,
IDL,Interferometer Data Log,
IDS,Interferometric Detection Subsystem,"Contains the Optical Bench, Phasemeter and Optical Bench Mechanism Control Unit (MCU). "
IFO,Interferometer,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
IMA,Integrated Modular Avionics,
IMBBH,Intermediate Mass Binary Black Hole,
IMBH,Intermediate-Mass Black Hole,
IMBHB,Intermediate Mass Black Hole Binary,
IMF,Initial Mass Function,
IMR,Inspiral-Merger-Ringdown,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
IN2P3,National Institute of Nuclear and Particle Physics,
INREP,Initial Noise Reduction Pipeline,
INREP,Initial Noise Reduction Pipeline,
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOCR,In-Orbit Commissioning Review,
IOT,Instruments Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
IPTF,intermediate Palomar Transient Factory,
ISC,Inter-spacecraft Laser Communication,
ISH,Inertial Sensor Head,
ISI,Inter-Satellite Interferometer,
ISM,Instrument Sensitivity Model,
ISM,Instrument Sensitivity Model,
ISUK,Inertial Sensor UV Kit,
IT,Information Technology,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITT,Invitation To Tender,
JILA,Joint Institute For Laboratory Astrophysics,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational-wave Detector,
KSC,Kennedy Space Center,
L3ST,L3 Study Team,
LA,Laser Assembly,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,
LCA,Lisa Core Assembly,
LCC,Life Cycle Cost,
LCL,LISA Consortium Lead,
LCM,Spacecraft Composite Stack,
LDB,Lisa Mission Database,
LDC,Lisa Data Challenge,Formerly called MLDC
LDCWG,LISA Data Challenge Working Group,
LDP,LISA Data Processing,
LDPG,Lisa Data Progressing Group,
LED,Light-Emitting Diode,
LEM,Laser Electrical Module,
LEOP,Launch And Early Operations Phase,
LGA,Low-Gain Antenna,
LH,Laser Head,
LIC,Lisa Instrument Consortium,Payload providers
LIG,LISA Instrument Group,
LIGO,Laser Interferemeter Gravitational Wave Observartory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,"LISA is a mission designed to measure gravitational radiation over a broad band at low frequencies, from about 0.1 mHz to 0.1 Hz, a band where the universe is richly populated by strong sources of gravitational waves. It will measure signals from a wide range of different sources that are of strong"
LISA-MRD-0,Mission Requirement Document,
LISN,Line Impedance Stabilization Network,
LIST,Lisa International Science Team,
LLAP,Low Latency Alert Pipeline,
LLD,Launch Lock Device,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LO,Local Oscillator,
LOA,Letter Of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 To Levl 1 Pipeline Procedure,
LOM,Laser Optical Module,
LOS,Line Of Sight,
LPF,Lisa Pathfinder,
LPS,Laser Pre-stabilization System,
LRI,Laser-Ranging Interferometer,
LS,Laser Subsystem,
LSG,Lisa Science Group,People from the community but not in the LISA Study Team
LSGCORE,LISA Science Group Core Team,
LSO,Last Stable Orbit,
LSST,Large Synoptic Survey Telescope,
LTP,Lisa Pathfinder Technology Package,
LTPDA,LISA Technology Package Data Analysis,
LUT,Look-Up Table,
LVA,Launch Vehicle Adaptor,
LOA,Letter of Agreement,
MA,Mission Assurance,
MAC,Mass Acceleration Curve,
MAR,Mission Adoption Review,
MAXI,Monitor Of All-Sky X-Ray Image,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MBW,Measurement Bandwidth,
MCI,"Mass, Center of gravity and Inertias",
MCMC,Markov-Chain Monte Carlo,
MCR,Mission Consolidation Review,
MCU,Mechanism Control Unit,
MECC,Merger Event Coordination Committee,
MEL,Master Equipment List,
MEOP,Maximum Expected Operationg Pressure,
MFR,Mission Finalisation Review,
MFS,Main Frequency Stabilisation,
MGSE,Mechanical Ground Support Equipment,
MICD,Mechanical Interface Control Document,
MIFO,Metallic Interferometer,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock Lisa Data Challenge,
MLI,Multi Layer Insulation,
MMAWP,Multi-Messenger Astrophysics Work Package,
MMH,Monomethyl Hydrazine,
MO,Maser Oscillator,
MOAD,Mission Operations Assumptions Document,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MOPA,Master Oscillator Power Amplifier,
MOSA,Moving Optical Sub-Assembly,"Telescope, an optical bench, a gravitational reference sensor (including free falling TM) and a support structure"
MOT,Magneto-Optical Trap,
MOU,Memorandum Of Understanding,
MOU,Memorandum of Understanding,
MPR,Mission Performance Requirement,
MR,Mission Requirement,
MR,Measurement Requirement,
MRD,Mission Requirement Document,The Mission Requirements Document (MRD) stems from the Science Requirements document [SciRD] and it contains the mission requirements considered necessary to achieve the science goals.
MRD,Mission Requirement Document,
MRF,Mechanical Reference Frame,
MSC,Mother Spacecraft,
MSEM,Mission Systems Engineering Managers,
MSS,Mosa Support Structure,
MOU,Memorandum of Understanding,
MOTHER-S/C,Mother spacecraft,
NANOGRAV,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Areonautic And Space Administration,
NDA,Non-Disclosure Agreement,
NECP,Near Earth Commissioning Phase,
NGMP,Next Generation Micro Processor,
NGO,New Gravitational Wave Observatory,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,Nasa Lisa Study Team,
NPMB,National Project Manager Board,Meetings of all the stakeholders and contributors to LISA hardware
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRC,National Research Council,
NRE,Non-Recurring Engineering,
NS,Neutron Star,
NSP,Nominal science phase,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NTC,Negative Temperature Coefficient,
NWNH,New Worlds New Horizons,
OAM,Optical Assembly Mechanics,
OAS,Optical Assembly Subsytem,
OATM,Optical Assembly Tracking Mechanism,
OB,Optical Bench,
OBA,Optical Bench Assembly,
OBC,On-Board Computer,
OGSE,Optical Ground Support Equipment,
OM,Optical Model,
OMS,Optical Metrology System,
OP,Optical Path,
OPL,Optical Path Length,
OR,Operational Requirement,
ORO,Optical Read-Out,
OT,optical truss,
P/L,Payload,
P/M,Propulsion Module,
P/M,Propulsion Module,
PA,power amplifier,
PA,Product Assurance,
PAA,Point-Ahead Angle,
PAAM,Point-Ahead Angle Mechanism,
PAC,Particulate Contamination,
PAN-STARRS,The Panoramic Survey Telescope & Rapid Response System,
PBH,Primordial Black Hole,
PCC,Payload Control Computer,
PCDU,Power Control And Distribution Unit,
PCOS,Physics of the Cosmos,
PCP,Payload Commanding and Processing,
PCP-GSE,Payload Commanding and Processing Ground Support Equipment,
PCS,Payload Control Subsystem,
PCU,Power Conditioning Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland.
PD,photo diode,
PDD,payload description document,
PDF,Probability Density Function,
PDH,Propability Data Handling,
PDR,Project Design Review,
PDS,photo detector system,
PEM,Payload Engineering Model,
PFM,Proto-Flight Model,
PFO,Particle fallout,
PI,Principal Investigator,
PL,Power-Law (model),
PLL,Phase-Locked Loop,
PLS,Power Law Sensitivity,
PM,"Project Management, Phase Meter, or Proof Mass",
PMDSP,Phase Meter Digital Signal Processor,
PMF,Polarization-Maintaining Fibre,
PMFDE,Pahse Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMS,Phase Measurement Subsystem,Phasemeter
PN,Post-Newtonian,
PPR,proper pseudo-range,
PPU,Power Processing Unit,
PRDS,Phase Reference Distribution System,
PRDS-OGSE,Phase Reference Distribution System - Optical Ground Support Equipment,
PRN,Pseudo-Random (Speudo Noise),
PRT,Platinum Resistance Thermometers,
PSCU,Power Signal Conditioning Unit,
PS, Project Scientist,
PSD,Power Spectral Density,
PSF,Point-Pread Function,
PSM,Power Supply Module,
PSR,Pulsar,
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
PAN-STARRS,the Panoramic Survey Telescope & Rapid Response System,
QA,Quality Assurance,
QE,Quantum Efficiency,
QM,Qualification Model,QM are like Flight Models (FM) but are usually stressed more during testing Qualification loads are higher than Verification Laods
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,Also called QPR
QPR,Quadrant Photo-Receiver,
QSL,Quasi-Static Load,
QSO,Quasi-Stellar Object,
RATS,Rapid Time Survey,
REF,reference,
RF,Radio Frequency,
RFI,Request for Information,
RFP,Request for Proposal,
RIN,Relative Intensity Noise,
RIT,Radio-Frequency Ion Thruster,
RM,Radiation Monitor,
RMS,Root Mean Square,
ROB,Read Out Box,
RSS,Root Sum Square,
RTB,Real-time Test Bed,
RTOS,Real Time Operating System,
RX,Received Laser (from far Spacecraft),
RX,Reception,
RXTE,Rossi X-Ray Timing Explorer,
S/C,Spacecraft,
"S/C, SC",Spacecraft,
S/C-P/M,Spacecraft/Propulsion-Module,
S/S,subsystem,
S/W,Software,
SAU,Sensing and Actuation Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland.
SAVOIR,Space AVionics Open Interface aRchitecture,
SBCC,Single Board Computer Core,
SC,Spacecraft,
SCCP,Science Commissioning and Calibration Phase,
SCET,Spacecraft Elapsed Time,
SCIRD,Science Requirements Document,
SCIRD,Science Requirement Document,
SCO,Stellar-mass Compact Object,
SCOE,Special Check Out Equipment,
SCU,Signal Conditioning Unit,
SDP,system data pool,
SDSS,Sloan Digital Sky Survey,
SE,System Engineer(ing),
SEO,System Engineering Office,We need this because we have several Systems Engineers from the different parties
SEP,Solar Energetic Paricle,
SEPD,Single-Element Photo Diode,
SGO,Space-based Gravitational-wave Observatory,
SGS,Science Ground Segment,
SGWB,Stochastic Gravitational-wave Background,
SI,Science investigation,
SIM,Space Interferometry Mission,
SIP,Science Implementation Plan,
SIPS,Science Implementation Plans,
SIR,System Integration Review,
SIRD,Science Implementation Requirement Document,
SISO,Single Input/Single Output,
SIWP,Science Interpretation Work Package,
SL,Scatter Light,
SLI,Single Layer Insulation,
SMBH,Super-Massive Black Hole,
SMC,Small Magellanic Cloud,
SMF,Single Mode Fiber,
SMP,Science Management Plan,
SNR,Signal-To-Noise Ratio,
SO,Science objective,
SOAD,Science Operations Assumptions Document,
SOBH,Stellar origin black hole,
SOBHB,Stellar Origin Black Hole Binary,
SOC,Science Operation Centre,
SOCD,Science Operations Concept Document,
SODPC,Science Operations Data Processing Center,
SOVT,Science Operations Verifications Tests,
SPA,Stationary Phase Approximation,
SPC,Science Programme Committee,
SQUID,Superconducting Quantum Interference Device,
SRP,solar radiation pressure,
SRR,System Requirements Review,
SRS,spacecraft reference system,
SRS,spacecraft reference system,
SS,Sub-system,
SSB,Solar System Barycenter,
SSC,Senior Science Committee,
SST,Science Study Team,
STM,Structural Model,"STM have all the structure, usually no or very limited functionality"
STOC,Science Technology Operations Centre,
STOM,Structural Optical Model,
STR,Coarse Star Tracker,
SWT,Ngo Scence Working Team,
SCIRD,Science Requirement Document,
TAA,Technical Assistance Agreement,
TAS,Thales-Alenia Aerospace Systems,
TBC,To Be Confirmed,
TBD,To  Be Determined,
TBT,Thermal Balance Test,
TC,Telecommand,
TC/TM,Telecommand/Telemetry,
TCB,Barycentric Coordinate Time,
