Acronym,Translation,Description
A/D,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
AAM,Active Aperture Mechanism,
AC,Alternating Current,Alternating current (AC) is an electric current which periodically reverses direction and changes its magnitude continuously with time in contrast to direct current (DC) which flows only in one direction.
ACS,Attitude Control System,
AD,Applicaple Document,
ADC,Analog-To-Digital Converter,"In electronics, an analog-to-digital converter (ADC, A/D, or A-to-D) is a system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal."
ADS,Airbus Deutschland (Friedrichshafen),Airbus is a European multinational aerospace corporation.
AEI,Albert Einstein Institute,The Max Planck Institute for Gravitational Physics (Albert Einstein Institute) is the largest research institute in the world specializing in general relativity and beyond. The institute is located in Potsdam and in Hannover where it closely collaborates with the Leibniz University Hannover.
AETD,Applied Engineering and Technology Directorate,
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,An active galactic nucleus (AGN) is a compact region at the center of a galaxy that has a much-higher-than-normal luminosity over at least some portion of the electromagnetic spectrum with characteristics indicating that the luminosity is not produced by stars.
AI,Atom Interferometry,
AIT,"Assembly, Integration, And Testing",
AIV,"Assembly, Integration, And  Verification",
AIVT,"Assembly, Integration, Verification, And Testing",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
ALMA,Atacama Large Millimeter/submillimeter Array,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),"""Class Of Cataclysmic Variable Stars"""
AMR,Anisotropic Magnetoresistors,
AO,Announcement Of Opportunity,An observing mode for observatories to catch timely and transient events in time.
AOCS,Attitude And Orbit Control System,
AOM,acousto-optic modulator,
APD,(NASA's) Astrophysics Division,
API,Application Programming Interface,
APM,Antenna Pointing Mechanism,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ASTROWG,Astrophysics Working Group,
ATA,Allen Telescope Array,
ATHENA,Advanced Telescope for High-ENergy Astrophysics,ESA's second L mission besides LISA. X-ray observatory that was supposed to be launched around the same time of LISA.
ATLO,"Assembly, Test, and Launch Operations",
AU,Astronomical Unit,
BAM,Beam Alignment Mechanism,"[IDS doc] Each OB has two Beam Alignment Mechanisms (BAMs): one shifts the TX beam, the other the RX beam. It effectively provides an efficient way of compensating Tilt-To-Length effects arising from imperfections and misalignments in the optical system."
BAO,Baryonic Acoustic Oscillation,
BB,Breadboard,
BBN,Big Bang Nucleosynthesis,
BCRS,Barycentric Celestial Reference System,
BEE,Back End Electronics,(PMS)
BH,Black Hole,
BHB,Black Hole Binary,
CAC,Cost at Completion,
CAD,Computer Aided Design,
CAM,Constellation Acquisition Mode,
CAS,Constellation Acquisition Sensor,
CATWP,Catalogues Work Package,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCCP,"Cleanliness, Contamination, and Control Plan",
CCD,Charge-Coupled Device,
CCU,Carging Control Unit,
CDF,Concurrent Design Facility,
CDM,Cold Dark Matter,
CDR,Critical Design Review,
CE,Cosmic Explorer,
CFRP,Carbon Fibre Reinforced Plastic,
CG,Cold Gas,
CGMPS,Cold Gas Micro Propulsion System,
CIP,Continuous Improvement Program,Ariannespace
CL,Confidence Level,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMD,Charge Management Decive,
CMM,Coordinate Measuring Machine,
CMNT,Colloid Micro-Newton Thruster,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre National d'Études Spatiales,
COBE,Cosmic Background Explorer,
COM,Centre Of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COMS,Communications System (telemetry),
COSMOS,Cosmic Evolution Survey,
COSWG,Cosmology Working Group,
COTS,Commercial off the Shelf,
CPIS,Consortium Provided Items,
CQP,Calibrated Quadrant Photodiode Pair,
CSD,Cross Spectral Density,
CST,Community Science Team,
CTE,Coefficient Of Thermal Expansion,
CTP,Core Technology Program,
CVM,Caging and Venting Mechanism,
CW,Continuous Wave,
CWD,Compact White Dwarf binaries,
D/A,Digital -To-Analogue Converter,
D/SRE,Director of Science & Robotic Exploration,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAC,Digital-to-Analog Converter,
DAFTWP,Data Analysis Framework and Tools Work Packages,
DAUGHTER-S,Daughter spacecraft,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCCS,Data Computing Centers,
DCIU,Digital Control Interface Unit,
DDE,Diagnostics Drive Electronics,
DDPC,Dedicated Data Processing Center,The Data Processing Center in France
DDS,Data and Diagnostic Subsystem,
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DHLC,Data Handling And Laser Control,
DLR,Deutsches Zentrum fuer Luft- und Raumfahrt,German Aerospace Center
DMS,Document Management System,
DMU,Data Management Unit,
DOF,Degree Of Freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPEWG,Detection and Parameter Estimation Work Packages,
DPLL,Digital Phase Locked Loop,
DPS,Differential Power Sensing,from Maike's thesis
DRS,Disturbance Reduction System,
DS,Diagnostics Subsystem,
DSC,Daughter Space Craft,
DSCU,Diagnostics Signal Conditioning Unit,"Diagnostics Signal Conditioning Unit (confirmed at LIG PM3, orally, by Miquel)"
DSN,Deep Space Network,
DSP,Data Signal Processing,
DTM,Deterministic Transfer Manoeuvre,
DTU,Danmarks Tekniske Universitet,Technical University of Denmark
DWD,Double White Dwarf (binary),
DWS,Differential Wavefront Sensing,
E2E,End-to-End,
EBB,Engineering (or Elegant) Bread Board,
EBM,External Balance Mass,
EC,Executive Committee,
ECSS,European Cooperation for Space Standardization,
EDU,Engineering Development Unit,
EEE,Electronic/Electrical Engineering Equipment,
EELV,Evolved Expendable Launch Vehicle,
EFC2,ESA/ESTEC Frame Contract 2,
EGAPS,European Galactic Plane Surveys,
EH,Electrode Housing,
EID,Experiment Interface Document,
EIRP,Equivalent Isotropic Radiative Power,
ELISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELV,Expendable Launch Vehicle,
EM,Engeneering Model,Simplification of the reality to address a complex problem by simple rules that can be described by means of equations EM have all the function but usually not the right interfaces (lab equipment instead of proper harness)
EMA,Electro-Magnetic,
EMC,Electro-Magentic Compatibility,
EMI,Electro-Magentic Interference,
EMRI,Extreme Mass-Ratio Inspiral,
EOL,End-Of-Life,
EOM,Equations of Motion,
EOM,Electro-Optical Modulator,
EPMS,Extended Phase Measurement System,
EPMS,Extended Phase Measuring System,"""Phasemeter - does more than just measure phase (clock transfer, ranging, data format, ..."""
EPS,Extended Press-Schechter Formalism,
EQM,Engineering and Qualification Model,
ESA,European Space Agency,
ESAC,European Space Astronomy Centre,"""In Madrid, Spain"""
ESDC,ESAC Science Data Centre,
ESOC,European Space Operations Centre,
ESP,Extended science phase,
ESTEC,European Space Research and Technology Centre,"""in Noordwijk, Netherlands"""
ESTRACK,European Space TRACKing,
ET,Einstein Telescope,
ETU,Engineering Thermal Unit,
FA,Fiber Amplifier,
FAQ,Frequently Asked Question(s),
FBD,Functional Block Diagram,
FDIR,"Failure Detection, Isolation, And Recovery",
FDS,Frequency Distribution System,
FE,Finite Element,
FEE,Front-End Eletrctronics,
FEE SAU,Front-End Eletrctronics Sensing And Actuation Unit,
FEEP,Field-Emission Electric Propulsion,
FEM,Finite Element Model,
FF OGSE,Far-Field Optical Ground Support Equipment,Optical Bench
FF-OGSE,Far-Field Optical Ground Support Equipment,Optical Bench
FFOGSE,Far Field Optical Ground Support Equipment,Optical Bench
FIOS,Fibre Injector Optical Subassembly,
FITS,Flexible Image Transport System,
FM,Flight Model,
FMT,Formulation Management Team,
FOH,Fibre Optical Harness,
FOV,Field of View,
FPAG,Fundamental Physics Advisory Group,
FPGA,Field-Programmable Gate Array,"A field-programmable gate array (FPGA) is an integrated circuit designed to be configured by a customer or a designer after manufacturing � hence the term ""field-programmable""."
FPWG,Fundamental Physics Working Group,
FR,Laser Frequency Reference,
FS,Flight Spare,A flight spare is a copy of a spacecraft or spacecraft part which is held in reserve in case it is needed for the mission.
FSM,Finite State Machine,
FSU,fibre switching unit,
FSUA,Fiber Switch Unit Actuator,
FTE,Full-Time Equivalent,
GB,Galactic Binary,
GBS,Galactic Binaries,
GCR,Galactic Cosmic Ray,
GCRS,Geocentric Celestial Reference System,
GOAT,Gravitational Observatory Advisory Team,
GPRM,Grabbing Position Release Mechanism,"[IDS doc] Each OB has two Fibre-Switch-Units (FSUs), one to provide the means to switch between the prime and redundant OB feed fibres (coming from the laser system) and one to switch between the prime and redundant backlink fibre."
GR,General Theory Of Relativity,
GR740,The ESA Next Generation Microprocessor (NGMP),
GRACE,Gravity Recovery and Climate Experiment,
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference Sensor,
GRSH,Gravitational Reference Sensor Head,
GS,Ground Station,
GSE,Ground Support Equipment,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,"refers to variation of TTL between what was measured on ground during AIVT, and wht we end up with in space - [my wording of my I got from Ewan@LIG PM3]"
GW,Gravitational Wave,
GW-WG,Gravitational-wave Observatory Working Group,
H/W,Hardware,
HDF,Hierarchical Data Format,
HDRM,Hold Down And Release Mechanism,
HEMP,High-Efficiency Micropropulsion,
HEO,High Earth Orbit,
HETO,Heliocentric Earth Trailing Orbit,
HG,Mercury,The Element.
HGA,High-Gain Antenna,
HK,Housekeeping,
HR,High Resolution,"[PDD] The GRS FEE is based on the 100 kHz capacitive sensing and audio-frequency actuation unit used in LPF. It has both High Resolution (HR) and Wide Range (WR) modes, offering, respectively, science mode operation with small displacements (up to 100 _m) and actuation forces (several nN) and a test"
HST,Hubble Space Telescope,
I&T,Integration and Test(ing),
I/F,interface,
IA,Instrument Amplifier,
IAAS,Infrastructure As A Service,
IAU,International Astronomical Union,
IBM,Internal Balance Mass,
ICC,Instrument Control Computer,cf EID-B 8.6
ICRF,International Celestial Reference Frame,
ICRS,International Celestial Reference System,
ICSO,Innermost Stable Circular Orbit,
IDA,Initial Displacement Angle,
IDL,Interferometer Data Log,
IDS,Interferometric Detection Subsystem,"Contains the Optical Bench, Phasemeter and Optical Bench Mechanism Control Unit (MCU)."
IFO,Interferometer,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
ILS,Instrument Line of Sight,cf EID-A EIDA-R010290
IMA,Integrated Modular Avionics,
IMBH,Intermediate-Mass Black Hole,
IMBHB,Intermediate Mass Black Hole Binary,
IMF,Initial Mass Function,
IMR,Inspiral-Merger-Ringdown,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
IN2P3,National Institute of Nuclear and Particle Physics,
INREP,Initial Noise Reduction Pipeline,This is a part of the L0 to L1 pipeline
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOCR,In-Orbit Commissioning Review,
IOT,Instruments Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
IPTF,intermediate Palomar Transient Factory,
ISC,Inter-spacecraft Laser Communication,
ISH,Inertial Sensor Head,
ISI,Inter-Satellite Interferometer,
ISM,Instrument Sensitivity Model,
ISUK,Inertial Sensor UV Kit,
IT,Information Technology,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITT,Invitation To Tender,
JILA,Joint Institute For Laboratory Astrophysics,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational-wave Detector,
KSC,Kennedy Space Center,
L0,Level 0 data,Raw data from the Telescope
L1,Level 1 data,TDI data streams
L2,Level 2 data,After global fit. Propablity functions for individual sources.
L3,Level 3 data,Catalogue of sources.
L3ST,L3 Study Team,
LA,Laser Assembly,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,
LCA,Lisa Core Assembly,
LCC,Life Cycle Cost,
LCL,LISA Consortium Lead,
LCM,Spacecraft Composite Stack,
LDB,Lisa Mission Database,
LDC,Lisa Data Challenge,Formerly called MLDC
LDCWG,LISA Data Challenge Working Group,
LDP,LISA Data Processing,
LDPG,Lisa Data Progressing Group,
LED,Light-Emitting Diode,
LEM,Laser Electrical Module,
LEOP,Launch And Early Operations Phase,
LGA,Low-Gain Antenna,
LH,Laser Head,
LIC,Lisa Instrument Consortium,Payload providers
LID / LIC,Laser Induced Damage (LID) and Laser Induced Contamination (LIC),
LIG,LISA Instrument Group,
LIGO,Laser Interferemeter Gravitational Wave Observartory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,"LISA is a mission designed to measure gravitational radiation over a broad band at low frequencies, from about 0.1 mHz to 0.1 Hz, a band where the universe is richly populated by strong sources of gravitational waves."
LISA-MRD-0,Mission Requirement Document,
LISN,Line Impedance Stabilization Network,
LIST,Lisa International Science Team,
LLAP,Low Latency Alert Pipeline,
LLD,Launch Lock Device,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LO,Local Oscillator,
LOA,Letter of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 To Levl 1 Pipeline Procedure,
LOM,Laser Optical Module,
LOS,Line Of Sight,
LPF,Lisa Pathfinder,
LPS,Laser Pre-stabilization System,
LRI,Laser-Ranging Interferometer,
LS,Laser Subsystem,
LSG,Lisa Science Group,People from the community but not in the LISA Study Team
LSGCORE,LISA Science Group Core Team,
LSO,Last Stable Orbit,
LSS,Laser Systems,
LSST,Large Synoptic Survey Telescope,
LTP,Lisa Pathfinder Technology Package,
LTPDA,LISA Technology Package Data Analysis,LTPDA is a MATLAB toolbox that uses an object-oriented approach to data analysis (https://www.elisascience.org/ltpda/)
LUT,Look-Up Table,
LVA,Launch Vehicle Adaptor,
LVDS,Low Voltage Differential Signaling,
MA,Mission Assurance,
MAC,Mass Acceleration Curve,
MAR,Mission Adoption Review,
MAXI,Monitor Of All-Sky X-Ray Image,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MBW,Measurement Bandwidth,
MCI,"Mass, Center of gravity and Inertias",
MCMC,Markov-Chain Monte Carlo,
MCR,Mission Consolidation Review,
MCU,Mechanism Control Unit,"[IDS doc] The Mechanism Control Unit (MCU) is an avionics unit dedicated to the control of the mechanisms mounted on the optical bench. These mechanisms are: the PAAM, the FSUA and the BAM. The unit shall interface with the mechanisms to provide power and command and control functions. It is expecte"
MECC,Merger Event Coordination Committee,
MEL,Master Equipment List,
MEOP,Maximum Expected Operationg Pressure,
MFR,Mission Formulation Review,
MFS,Main Frequency Stabilisation,
MGSE,Mechanical Ground Support Equipment,
MICD,Mechanical Interface Control Document,
MIDA,Mean (Earth) Initial Displacement Angle,
MIFO,Metallic Interferometer,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock Lisa Data Challenge,
MLI,Multi Layer Insulation,
MM,Mission Manager,
MMAWP,Multi-Messenger Astrophysics Work Package,
MMH,Monomethyl Hydrazine,
MO,Maser Oscillator,
MOAD,Mission Operations Assumptions Document,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MOPA,Master Oscillator Power Amplifier,
MOSA,Moving Optical Sub-Assembly,"Telescope, an optical bench, a gravitational reference sensor (including free falling TM) and a support structure"
MOT,Magneto-Optical Trap,
MOTHER-S/C,Mother spacecraft,
MOU,Memorandum of Understanding,"""Contract between ESA and the international partners (such as NASA)"""
MPR,Mission Performance Requirement,
MR,Measurement Requirement,""" This is a test for a longer description lets see how the space can deal with this if I have two of them"""
MR,Mission Requirement,""" This is a test for a longer description lets see how the space can deal with this if I have two of them"""
MRD,Mission Requirement Document,The Mission Requirements Document (MRD) stems from the Science Requirements document [SciRD] and it contains the mission requirements considered necessary to achieve the science goals.
MRF,Mechanical Reference Frame,
MSC,Mother Spacecraft,
MSEM,Mission Systems Engineering Managers,
MSS,Mosa Support Structure,
MTS,Metasurface (antennas),
NANOGRAV,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Areonautic And Space Administration,
NDA,Non-Disclosure Agreement,
NECP,Near Earth Commissioning Phase,
NGMP,Next Generation Micro Processor,
NGO,New Gravitational Wave Observatory,
NGRM,Next Generation Radiation Monitor,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,Nasa Lisa Study Team,
NPMB,National Project Manager Board,Meetings of all the stakeholders and contributors to LISA hardware
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRC,National Research Council,
NRE,Non-Recurring Engineering,
NS,Neutron Star,
NSP,Nominal science phase,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NTC,Negative Temperature Coefficient,"(some DIAG temp. sensors). NTC stands for �Negative Temperature Coefficient. NTC thermistors are resistors with a negative temperature coefficient, which means that the resistance decreases with increasing temperature. They are primarily used as resistive temperature sensors and current-limiting dev"
NWNH,New Worlds New Horizons,
OAM,Optical Assembly Mechanics,
OAS,Optical Assembly Subsytem,
OATM,Optical Assembly Tracking Mechanism,
OB,Optical Bench,
OBA,Optical Bench Assembly,
OBC,On-Board Computer,
OBCP,On-Board Control Procedure,LPF acronym at least
OBSW,On-Board Software,
OGSE,Optical Ground Support Equipment,
OM,Optical Model,
OMS,Optical Metrology System,
OP,Optical Path,
OPL,Optical Path Length,
OR,Operational Requirement,
ORO,Optical Read-Out,
OT,optical truss,
P/L,Payload,
P/M,Propulsion Module,
PA,Product Assurance,
PA,Power Amplifier,
PAA,Point-Ahead Angle,
PAAM,Point-Ahead Angle Mechanism,The PAAM is a steering mirror that points ahead the outgoing (RX) beam to compensate for the distance the distant spacecraft moves in the light travel time between spacecraft. (Thesis Maike)[IDS doc] The transmit laser beam steering angle needs to be adjusted at least once every few minutes with an
PAC,Particulate Contamination,
PAN-STARRS,The Panoramic Survey Telescope & Rapid Response System,
PBH,Primordial Black Hole,
PBS,Polarising Beam Splitter (might be an LPF acronym),
PCC,Payload Control Computer,
PCDU,Power Control And Distribution Unit,
PCOS,Physics of the Cosmos,
PCP,Payload Commanding and Processing,
PCP-GSE,Payload Commanding and Processing Ground Support Equipment,
PCS,Payload Control Subsystem,
PCU,Power Conditioning Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland.
PD,Photo Diode,
PDD,Payload Description Document,
PDF,Probability Density Function,
PDH,Propability Data Handling,
PDR,Project Design Review,
PDS,Photo Detector System,
PEM,Payload Engineering Model,
PFM,Proto-Flight Model,
PFO,Particle fallout,
PI,Principal Investigator,
PIAR,Performance and Impact Assessment Review,
PL,Power-Law (model),
PLL,Phase-Locked Loop,
PLS,Power Law Sensitivity,
PM,"Project Management, Phase Meter, or Proof Mass",
PMDSP,Phase Meter Digital Signal Processor,
PMF,Polarization-Maintaining Fibre,
PMFDE,Pahse Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMON,Power monitor(s),
PMS,Phase Measurement Subsystem,Phasemeter
PN,Post-Newtonian,
PPR,Proper Pseudo-Range,
PPU,Power Processing Unit,
PRDS,Phase Reference Distribution System,
PRDS-OGSE,Phase Reference Distribution System - Optical Ground Support Equipment,
PRN,Pseudo-Random (Speudo Noise),
PRT,Platinum Resistance Thermometers,
PS,Project Scientist,
PSCU,Power Signal Conditioning Unit,"part of ePMS review datapack / QPR power supply and failure handling. Not to be confused with the SCU for thermal control and diagnostics (thermistors, heaters... etc)"
PSD,Power Spectral Density,
PSF,Point-Pread Function,
PSM,Power Supply Module,part of ePMS review datapack
PSR,Pulsar,
