Acronym,Translation,Description
AIVT,"Assembly, Integration, Verification, Test ",
CVM,Caging and Venting Mechanism ,
DFACS,Drag-Free Attitude Control System ,
DOF,Degrees of Freedom   ,
DWS,Differential Wavefront Sensing   ,
EBB,Engineering (or Elegant) Bread Board ,
EH,Electrode Housing    ,
ESP,Extended science phase   ,
FDIR,Failure Detection Isolation and Recovery ,
FEE,Front End Electronics   ,
FOH,Fiber Optic Harness   ,
GCRS,Geocentric Celestial Reference System ,
GPRM,"Grabbing, Positioning and Release Mechanism ",
GRS,Gravitational Reference Sensor   ,
HK,Housekeeping     ,
ICRF,International Celestial Reference Frame ,
ICRS,International Celestial Reference System ,
IDS,Interferometric Detection Subsystem   ,
INReP,Initial Noise Reduction Pipeline  ,
ISI,Inter-Satellite Interferometer    ,
LCA,LISA Core Assembly   ,
LCL,LISA Consortium Lead   ,
LDPG,LISA Data Processing Group ,
LEOP,Launch and Early Operations Phase ,
LH,Laser Head    ,
LIG,LISA Instrument Group   ,
LISA,Laser Interferometer Space Antenna ,
LS,Laser System    ,
MOAD,Mission Operations Assumptions Document  ,
MOSA,Moving Optical Sub-Assembly   ,
MRD,Mission Requirements Document   ,
NECP,Near Earth Commissioning Phase ,
NSP,Nominal science phase   ,
OB,Optical bench    ,
OBC,On-Board Computer    ,
OMS,Optical Metrology Subsystem   ,
PAAM,Point Ahead Angle Mechanism ,
PCP,Payload Commanding and Processing ,
PMS,Phase Measurement Subsystem   ,
PRDS,Phase Reference Distribution System ,
SC,Spacecraft     ,
SCCP,Science Commissioning and Calibration Phase ,
SciRD,Science Requirements Document   ,
SNR,Signal-to-Noise Ratio    ,
TDI,Time Delay Interferometry   ,
TM,Test Mass    ,
TMTC,Telemetry and Telecommand   ,
TP,Transfer Phase    ,
TRL,Technology Readiness Level ,
TTL,Tilt to length  ,
