Acronym,Translation,Description
AAM,Active Aperture Mechanism   ,
ICC,Instrument Control Computer   ,
IFO,InterFerOmetry     ,
LA,Laser Assembly    ,
LCA,LISA Core Assembly   ,
LIG,LISA Instrument Group   ,
LISA,Laser Interferometer Space Antenna  ,
LISN,Line Impedance Stabilization Network  ,
PFM,Proto Flight Model   ,
PSCU,Power Signal Conditioning Unit  ,
MCI,"Mass, Center of gravity and Inertias",
MCU,Mechanism Control Unit   ,
MFR,Mission Finalisation Review   ,
MFS,Main Frequency Stabilisation   ,
MOC,Molecular Organic Contamination   ,
MOSA,Moving Optical Sub-Assembly   ,
MGSE,Mechanical Ground Support Equipment  ,
MLI,Multi Layers Insolation   ,
MRF,Mechanical Reference Frame   ,
MSS,MOSA Support Structure   ,
OATM,Optical Assembly Tracking Mechanism  ,
OB,Optical Bench    ,
OBA,Optical Bench Assembly   ,
OGSE,Optical Ground Support Equipment  ,
OM,Optical Model    ,
OMS,Optical Metrology System   ,
OPL,Optical Path Length   ,
PAAM,Point-Ahead Angle Mechanism   ,
PAC,Particulate Contamination    ,
PCU,Power Conditioning Unit   ,
PFO,Particle fallout    ,
PM,Phasemeter     ,
QPD,Quadrant Photodetector    ,
QSL,Quasi-Static Load    ,
ROB,Read Out Box   ,
Rx,Reception     ,
SCU,Signal Conditioning Unit   ,
SEPD,Single Element Photodiode   ,
SLI,Single Layer Insulation   ,
STM,Structural & Thermal Model  ,
STOM,"Structural, Thermal and Optical Model",
S/C,Spacecraft     ,
TBC,To Be Confirmed   ,
TBD,To Be Defined   ,
TBT,Thermal Balance Test   ,
TCS,Thermal Control Subsystem   ,
TDI,Time Delay Interferometry   ,
TL,or TEL Telescope   ,
TM,Test Mass    ,
TM/TC,Tele Measure/Tele Command   ,
TOBA,Telescope & Optical Bench Assembly,
TOGA,"Telescope, Optical Bench & GRS Assembly",
TRB,Test Review Board   ,
TRR,Test Readiness Review   ,
TVT,Thermal Vacuum Test   ,
TTL,Tilt To Length   ,
TVAC,Thermal Vacuum    ,
Tx,Transmission     ,
ULU,UV light unit   ,
VC,Vacuum Chamber    ,
VE,Vacuum Enclosure    ,
WFE,Wave Front Error   ,
