Acronym,Translation,Description
1PA,one-post-adiabatic,
AAM,Active Aperture Mechanism,
AB,Actuator Block,
ABCL,As-Built Configuration List,
AC,Alternating Current,
ACM,Agency Controlled Milestones,
AD,Applicable Document,
ADC,Analog-To-Digital Converter,
ADPLL,all-digital phase-locked loop,
AE,Arianespace,
AEI,Albert Einstein Institute,The Max Planck Institute for Gravitational Physics (Albert Einstein Institute) is one of the largest research institute specializing in general relativity and beyond. The institute is located in Potsdam and in Hannover where it closely collaborates with the Leibniz University Hannover.
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,An active galactic nucleus (AGN) is a compact region at the centre of a galaxy that has a much-higher-than-normal luminosity over at least some portion of the electromagnetic spectrum with characteristics indicating that the luminosity is not produced by stars.
AI,Atom Interferometry,
AIL,Action Item List,
AIT,"Assembly, Integration, and Testing",
AIV,"Assembly, Integration and Verification",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
ALMA,Atacama Large Millimeter/submillimeter Array,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),"""Class Of Cataclysmic Variable Stars"""
AMR,Anisotropic Magnetoresistors,
AMU,Accelerometer Measurement Unit,
AO,Announcement Of Opportunity,An observing mode for observatories to catch timely and transient events in time.
AOCS,Attitude & Orbit Control System,
AOM,acousto-optic modulator,
AP,(NASA's) Astrophysics Division,
APE,Absolute Pointing Error,
API,Application Programming Interface,
APID,Application Process Identification,
APM,Antenna Pointing Mechanism,
ASI,Agenzia Spaziale Italiana,
ASD,Amplitude Spectral Density,
ASM,Analogue Signal Monitor,
ASTROWG,Astrophysics Working Group,
ATA,Allen Telescope Array,
"ATC, UK ATC",UK Astronomy Technology Centre,
ATLO,"Assembly, Test, and Launch Operations",
ATM,Acoustic Telemetry Modem,
ATM,Augmented Telemetry,
ATP,Authorisation To Proceed,
AU,Astronomical Unit,
AU,gold,
AVM,Avionic Model,
ASW,Application Software,
AWG,American Wire Gauge,
BAM,Beam Alignment Mechanism,"[IDS doc] Each OB has two Beam Alignment Mechanisms (BAMs): one shifts the TX beam, the other the RX beam. It effectively provides an efficient way of compensating Tilt-To-Length effects arising from imperfections and misalignments in the optical system."
BAO,Baryonic Acoustic Oscillation,
BB,Breadboard,
BBN,Big Bang Nucleosynthesis,
BCR,Battery Charge Regulator,
BCRS,Barycentric Celestial Reference System,
BDM,Bi-Level Discrete Monitor,
BEE,Back End Electronics,(PMS)
BELSPO,Belgian Science Policy,
BER,Bit Error Rate,
BH,Black Hole,
B,Black Hole Binary,
BIPR,Background Intellectual Properties Rights,
BM,Balance Mass,
BoB,Break Out Box,
BoL,Beginning-Of-Life,
BSM,Physics beyond the Standard Model,
BSW,Basic Software,
CAB,Change Appeal Board,
CAC,Cost at Completion,
CAD,Computer Aided Design,
CADM,Configuration And Data Management,
CAM,Constellation Acquisition Mode,
CAS,Constellation Acquisition Sensor,
CAS-OH,CAS Optical Head,
CAS-EU,CAS Electronic Unit,
CATWP,Catalogues Work Package,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCCP,"Cleanliness, Contamination, and Control Plan",This document implementation of preventive actions and methods of monitoring of contamination 
CCD,Charge-Coupled Device,Imaging sensor
CCN,Contract Change Notice,
CCU,Charging Control Unit,
CCS,Central Checkout System,
CCSDS,Consultative Committee for Space Data Systems,
CCW,Counterclockwise,Refers to constellation design option where the LISA formation appears to rotate counterclockwise when seen from the Sun
CDF,Concurrent Design Facility,
CDM,Cold Dark Matter,
CDMS,Central Data Management System,
CDMU,Control and Data Management Unit,
CDR,Critical Design Review,
CE,European safety standard,
CE,Cosmic Explorer,
CE,Conducted Emission,
CEL,Critical Event Log,
CF,Communication Frame,
CFI,Customer-Furnished Items,
CFRP,Carbon Fibre Reinforced Plastic,
CG,Cold Gas,
CIDL,Configuration Item Data List,This records the document and issue and revision that describes the design
CIL,Critical Items List,Lists the main risks of the products and checked for closure at the delivery
CIP,Continuous Improvement Program,Arianespace launcher improvement programme for Ariane 6
CL,Confidence Level,
CLA,Coupled Loads Analysis,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Charging Mechanism,
CM,Configuration Management,
CM,Common Mode,
CMB,Cosmic Microwave Background,
CMD,Charge Management Device,
CMM,Coordinate Measuring Machine,
CMNT,Colloid Micro-Newton Thruster,
CMRR,Common Mode Rejection Ratio,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre national d'etudes spatiales,
COBE,Cosmic Background Explorer,
CoC,Certificate of Conformance,
COG,Center of Gravity,
COM,Centre Of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COMS,Communications System (telemetry),
COSMOS,Cosmic Evolution Survey,
COSWG,Cosmology Working Group,
COTE,Check-Out Test Equipment,
COTS,Commercial off the Shelf,
CPIS,Consortium Provided Items,
CPPA,Coordinated Parts Procurement Agency,
CPTA,Chinese Pulsar Timing Array,
CPU,Central Processing Unit,
CQP,Calibrated Quadrant Photodiode Pair,
CR,Change Request,
CRS,Contamination requirements specification,The document that justifies cleanliness levels 
CAR,Contamination Analysis Report,
CRB,Change Review Board,
CReMA,Consolidated Report on Mission Analysis,
CS,Conducted Susceptibility,
CS,Cosmic String,
CSAR,Configuration Status Accounting Report,
CSD,Cross Spectral Density,
CST,Community Science Team,
CTE,Coefficient Of Thermal Expansion,
CTP,Core Technology Program,
CVCM,"Collected volatile condensable material,",quantity of outgassed matter from a test specimen that condenses on a collector maintained at a specific temperature for a specific time.
CVM,Caging and Venting Mechanism,
CW,Continuous Wave,
CW,ClockWise,Refers to constellation design option where the LISA formation appears to rotate clockwise when seen from the Sun
CWD,Compact White Dwarf binaries,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAC,Digital-to-Analog Converter,
DACU,Diagnostic Acquisition and Control Unit,
DAFTWP,Data Analysis Framework and Tools Work Packages,
DAUGHTER-S,Daughter spacecraft,
DB,Data Base,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCCS,Data Computing Centers,
