Acronym,Translation,Description
1PA,one-post-adiabatic,
A/D,analog-to-digital converter,
AAM,Active Aperture Mechanism,
AC,alternating current,
ACS,Attitude Control System,
AD,Applicaple Document,
ADC,analog-to-digital converter,
ADS,Airbus Deutschland (Friedrichshafen),
ADPLL,all-digital phase-locked loop,
AEI,Albert Einstein Institute,
AETD,Applied Engineering and Technology Directorate,
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,
AI,Atom Interferometry,
AIT,"Assembly, Integration, And Testing",
AIV,"Assembly, Integration, And  Verification",
AIVT,"Assembly, Integration, Verification, And Testing",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
ALMA,Atacama Large Millimeter/submillimeter Array,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),
AMR,Anisotropic Magnetoresistors,
AO,Announcement Of Opportunity,
AOCS,Attitude And Orbit Control System,
AOM,acousto-optic modulator,
APD,(NASA's) Astrophysics Division,
API,Application Programming Interface,
APM,Antenna Pointing Mechanism,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ASTROWG,Astrophysics Working Group,
ATA,Allen Telescope Array,
Athena,Advanced Telescope for High-ENergy Astrophysics,
ATLO,"Assembly, Test, and Launch Operations",
ATM,Acoustic Telemetry Modem,
ATM,augmented telemetry,
AU,Astronomical Unit,
BAM,beam alignment mechanism,
BAO,Baryonic Acoustic Oscillation,
BB,Breadboard,
BBN,Big Bang Nucleosynthesis,
BCRS,Barycentric Celestial Reference System,
BEE,back-end electronics,
BH,Black Hole,
BHB,Black Hole binary,
BSM,Physics beyond the Standard Model,
CAC,Cost at Completion,
CAD,Computer Aided Design,
CAM,Constellation Acquisition Mode,
CAS,Constellation Acquisition Sensor,
CATWP,Catalogues Work Package,
CBE,current best estimate,
CBOD,Clamp Band Opening Device,
CCCP,"Cleanliness, Contamination, and Control Plan",
CCD,Charge-Coupled Device,
CCU,Carging Control Unit,
CDF,Concurrent Design Facility,
CDM,Cold Dark Matter,
CDR,Critical Design Review,
