Acronym,Translation,Description
AC,Alternating Current,
ADC,Analog to Digital Converter,
AGN,Active Galactic Nuclei,
AIV,"assembly, integration, and verification",
AIVT,"assembly, integration, verification, and testing",
AIT,"assembly, integration, and testing",
AK,Analytic Kludge,
AKE,attitude absolute knowledge,
AMCVn,class of cataclysmic variable stars,
AMR,Anisotropic Magnetoresistors,
AO,Announcement of Opportunity,
AOCS,attitude and orbit control system,
AOM,acousto-optic modulator,
ASD,amplitude spectral density,
AST,autonomous star tracker,
AstroWG,Astrophysics Working Group,
ATA,Allen Telescope Array,
BAM,Beam Alignment Mechanism,
BAO,baryonic acoustic oscillation,
BB,Breadboard,
BBN,Big Bang nucleosynthesis,
BCRS,Barycentric Celestial Reference System,
BH,black hole,
BHB,black hole binary,
CAD,Computer Aided Design,
CAS,Constellation Acquisition Sensor,
CATWP,Catalogues Work Package,
CBE,Current Best Estimate,
CBOD,Clamp band opening device,
CCD,Charge-coupled Device,
CCU,Caging Control Unit,
CDF,Concurrent Design Facility,
CDM,Cold dark Matter,
CDR,Critical Design Review,
CFRP,Carbon Fibre Reinforced Plastic,
CM,Caging Mechanism,
CMD,Charge Management Device,
CMM,Coordinate Measuring Machine,
CMS,Charge Management System,
CMNT,Colloid Micro-Newton thruster,
CMB,Cosmic Microwave Background,
CNES,Centre National d�Etudes Spatiales,
COBE,COsmic Background Explorer,
CoM,Centre of Mass,
COMBO,Classifying Objects by Medium-Band Observations,
COSMOS,Cosmic Evolution Survey,
CosWG,Cosmology Working Group,
CQP,Calibrated Quadrant Photodiode Pair,
COTS,Commercial off the Shelf,
CSD,Cross Spectral Density,
CTE,Coefficient of Thermal Expansion,
CTP,Core Technology Program,
CVM,Caging and Venting Mechanism,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAFTWP,Data Analysis Framework and Tools Work Packages,
D/A,digital-to-analogue converter,
DCC,Data Computing Center,
DCCs,Data Computing Centers,
DDE,diagnostics drive electronics,
DDPC,Distributed Data Processing Centre,
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DOF,degree of freedom,
DMU,Data Management Unit,
DMS,Document Management System,
DP,diagnostic package,
DPC,Data Processing Centre,
DPEWG,Detection and Parameter Estimation Work Packages,
DPLL,digital phase locked loop,
DRS,disturbance reduction system,
Daughter-S/C,Daughter spacecraft,
DS,Diagnostics Subsystem,
DSN,Deep Space Network,
