Acronym,Translation,Description
BBDR,Breadboard Design Review,
CIL,Critical Items List,
DDF,Design Definition File,
DJF,Design Justification File,
DR,Design Review,
ECDL,Extended Cavity Diode Laser,
EGSE,Electrical Ground Support Equipment,
FWHM,Full Width Half Maximum,
LD,Laser Diode,
LLI,Long Lead Item,
LFS,Laser Frequency Stabilisation,
MTR,Mid-Term Review,
NA,Numerical Aperture,
NEP,Noise Equivalent Power,
PM,Progress Meeting,
RD,Reference Document,
SBDL,Standard Balanced Digital Link,
SBS,Stimulated Brillouin Scattering,
SOW,Statement Of Work,
TA,Telescope Assembly,
VP,Verification Program,
WBS,Work Breakdown Structure,
