Acronym,Translation,Description
AC,Alternating Current,
ACS,Attitude Control System,
A/D,Analog to Digital,
ADC,Analog to Digital Converter,
ADS,Airbus Deutschland (Friedrichshaven),
AEI,Albert Einstein Institute,
AETD,Applied Engineering and Technology Directorate,
AGIS,Atomic Gravitational-wave Interferometer Sensor,
AGN,Active Galactic Nuclei,
AI,Atom Interferometry,
AIV,"Assembly, Integration, and Verification",
AIVT,"Assembly, Integration, Verification, and Testing",
AIT,"Assembly, Integration, and Testing",
ALMA,Atacama Large Millimeter/submillimeter Array,
Am CVn,AM Canum Venaticorum star (cataclysmic variable),
AO,Announcement of Opportunity,
AOCS,Attitude and Orbital Control System,
API,Application Programming Interface,
APD,(NASA's) Astrophysics Division,
ASD,Amplitude Spectral Density,
AST,Autonomous Star Tracker,
ATLO,"Assembly, Test, and Launch Operations",
AU,Astronomical Unit,
BAO,Baryonic Acoustic Oscillation,
BBN,Big Bang Nucleosynthesis,
BH,Black Hole,
BHB,Black Hole Binary,
CAC,Cost at Completion,
CAS,Constellation Acquisition Sensor,
CBE,Current Best Estimate,
CBOD,Clamp Band Opening Device,
CCD,Charge-coupled Device,
CCU,Caging Control Unit,
CDM,Cold Dark Matter,
CE,Cosmic Explorer,
CFRP,Carbon Fiber Reinforced Plastic,
CG,Cold Gas,
CL,Confidence Level,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMNT,Colloidal micro-Newton Thruster,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre National d'Études Spatiales,
CoM,Center of Mass,
COMBO,Classifying Objects By Medium-band Observations,
COMS,Communications System (telemetry),
CST,Community Science Team,
CTE,Coefficient of Thermal Expansion,
CW,Continuous Wave,
CWD,Compact White Dwarf binaries,
D/A,Digital-to-Analog,
D/SRE,Director of Science & Robotic Exploration,
DAC,Digital-to-Analog Converter,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCIU,Digital Control Interface Unit,
DDE,Diagnostics Drive Electronics,
DDS,Data and Diagnostic Subsystem,
DFACS,Drag-Free Attitude Control System,
DMU,Data Management Unit,
DOF,Degree(s) of Freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPLL,Digital Phase-locked Loop,
DRS,Disturbance Reduction System,
DSC,Daughter Spacecraft,
DSN,Deep Space Network,
DSP,Data Signal Processing,
DTM,Deterministic Transfer Maneuver,
DWD,Double White Dwarf (binary),
DWS,Differential Wavefront Sensing,
ECSS,European Cooperation for Space Standardization,
EELV,Evolved Expendable Launch Vehicle,
EGAPS,European Galactic Plane Surveys,
EH,Electrode Housing,
EIRP,Equivalent Isotropic Radiative Power,
eLISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELV,Expendable Launch Vehicle,
EM,Engineering Model,
EM,Electromagnetic,
EMC,Electromagnetic Compatibility,
EMI,Electromagnetic Interference,
EMRI,Extreme Mass-Ratio Inspiral,
EOL,End of Life,
EOM,Electro-Optical Monitor,
EPS,Electrical Power Subsystem,
ESA,European Space Agency,
ESAC,"European Space Agency Center (Madrid, Spain)",
ESTEC,European Space Research and Technology Centre,
ET,Einstein Telescope,
FAQ,Frequently Asked Question(s),
FDIR,"Failure Detection, Isolation, and Recovery",
FE,Finite Element,
FEE,Front End Electronics,
FEE SAU,Front End Electronics Sensing and Actuation Unit,
FEEP,Field Emission Electric Propulsion,
FFOGSE,Far Field Optical Ground Support Equipment,
FM,Flight Model,
FOH,Fiber Optical Harness,
FOV,Field of View,
FPAG,Fundamental Physics Advisory Group,
FPGA,Field-programmable gate array,
FR,(Laser) Frequency Reference,
FSUA,Fiber Switch Unit Actuator,
GB,Galactic Binary,
GOAT,Gravitational Observatory Advisory Team,
GPRM,Grabbing Position Release Mechanism,
GR,General Theory of Relativity,
GRACE,Gravity Recovery and Climate Experiment,
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference Sensor,
GS,Ground Station,
GSE,Ground Support Equipment,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,
GW,Gravitational Wave,
GW-WG,Gravitational-wave Observatory Working Group,
H/W,Hardware,
HDF,Hierarchical Data Format,
HDRM,Hold Down and Release Mechanism,
HEMP,High-Efficiency Micropropulsion,
HEO,High Earth Orbit,
HETO,Heliocentric Earth-Trailing Orbit,
HGA,High Gain Antenna,
HST,Hubble Space Telescope,
I&T,Integration and Test(ing),
ICSO,Innermost Stable Circular Orbit,
IFO,Interferometer,
IFP,In-Field Pointing,
IMBH,Intermediate-mass black hole,
IMBBH,Intermediate Mass Binary Black Hole,
